ID,IN,OUT,soc,cap
112103,22,63,50.44,60
8670,49,51,51.85,60
139069,36,70,14.02,60
134914,30,42,18.25,60
81246,30,71,46.64,60
36467,31,74,42.33,60
109022,26,70,21.21,60
102028,26,64,35.8,60
103439,50,71,17.74,60
74450,29,54,53.55,60
146559,34,50,51.67,60
142218,50,65,26.2,60
50848,37,82,47.15,60
111472,48,53,47.05,60
116920,49,62,14.75,60
20902,42,71,55.71,60
133562,56,76,28.72,60
71186,26,75,46.71,60
47459,40,76,48.47,60
2756,33,90,39.51,60
59931,32,52,30.48,60
115802,38,46,58.15,60
70640,45,68,15.63,60
100320,28,89,32.41,60
81992,29,72,30.31,60
110081,56,60,50.51,60
68477,23,64,7.66,60
126161,49,87,6.31,60
98784,36,75,23.74,60
62247,28,73,36.8,60
151806,46,58,13.65,60
40329,30,54,44.59,60
116057,61,73,29.73,60
47003,30,89,16.01,60
43733,30,83,31.28,60
149661,30,92,18.29,60
147672,42,62,58.63,60
50920,31,74,26,60
47605,28,86,16.88,60
107205,26,85,52.77,60
26512,49,70,23.8,60
38277,33,50,38.2,60
41711,54,80,44.69,60
44609,21,57,22.49,60
139419,32,67,38.35,60
148,74,92,46.35,60
45062,37,73,44.27,60
73622,42,87,40.45,60
132222,24,72,39,60
34293,32,74,56.57,60
106899,36,66,28.74,60
145120,33,65,44.77,60
48079,39,74,28.78,60
35914,31,73,16.65,60
32449,29,77,11.73,60
30296,52,69,29.63,60
33078,34,73,33.54,60
15317,71,78,56.54,60
59705,30,81,8.21,60
30897,34,72,43.78,60
23957,32,55,6.52,60
104743,43,75,44.48,60
24109,36,71,16.99,60
13477,29,72,11.48,60
52762,32,84,51.26,60
101157,40,52,38.77,60
98942,32,44,6.5,60
103137,57,72,10.23,60
144884,44,66,9.74,60
45044,62,72,50.44,60
95224,43,53,15.3,60
35096,24,71,19.04,60
140757,24,75,40.84,60
40985,42,93,1.96,60
124743,41,68,30.33,60
15229,30,70,25.11,60
116477,52,60,48.91,60
58367,29,68,34.96,60
15961,65,70,42.84,60
148548,62,71,37.91,60
41569,30,87,29.17,60
154205,32,70,22.1,60
94345,40,48,45.56,60
63119,37,53,47.76,60
32472,32,71,17.9,60
87431,36,70,52.4,60
32538,27,65,28.59,60
44344,33,70,50.05,60
57566,35,44,44.95,60
125840,34,64,51.4,60
22220,68,79,32.29,60
10116,34,59,52.52,60
80791,29,73,54.57,60
27399,31,70,26.75,60
95231,29,84,53.75,60
93641,61,79,12.3,60
105484,47,84,49.01,60
96397,28,71,22.48,60
120565,54,69,32.71,60
107523,69,88,32.95,60
126054,69,73,51.06,60
123042,40,61,31.86,60
79603,39,69,52.18,60
95690,61,85,13.77,60
59246,42,56,38.17,60
103557,32,56,36.12,60
122245,32,46,35.83,60
57732,49,84,20.48,60
117736,26,76,49.01,60
98999,40,90,35.87,60
144059,29,66,16.3,60
48571,28,70,37.79,60
123887,37,67,57.51,60
148475,27,65,17.17,60
94635,30,62,24.61,60
97454,24,65,32.29,60
60226,38,75,32.71,60
140827,24,83,53.04,60
131679,32,57,57.64,60
53391,26,68,36.53,60
55595,28,67,16.78,60
136162,34,82,23.53,60
45175,67,71,51.04,60
56829,20,65,9.45,60
17485,37,77,36.59,60
125562,40,74,21.41,60
8336,30,71,27.16,60
113612,41,68,29.97,60
25463,31,72,33.14,60
132927,32,68,24.26,60
122111,23,68,38.53,60
25328,39,62,35.32,60
10904,39,58,22.65,60
97267,18,93,10.06,60
114827,32,62,36.59,60
7166,37,95,16.42,60
73082,29,68,52.64,60
123341,25,83,45.29,60
90580,39,66,23.52,60
14780,30,65,37.7,60
100348,44,92,16.65,60
128350,34,59,34.19,60
136851,44,95,11.83,60
37293,36,70,23.34,60
18643,61,69,45.65,60
104609,33,64,20.91,60
24822,56,64,42.67,60
149996,33,50,15.81,60
94180,28,64,25.92,60
143835,50,64,22.58,60
47253,68,73,42.08,60
76333,55,68,58.97,60
151969,37,79,26.2,60
31742,32,73,54.23,60
143063,28,76,25.96,60
24980,42,75,2.83,60
10480,23,76,49.04,60
138141,33,68,46.36,60
60633,20,76,22.67,60
134910,44,72,20.11,60
117463,53,67,29.15,60
14252,32,58,18.59,60
59979,42,69,27.82,60
71958,36,58,22.67,60
38279,54,90,28.39,60
33675,81,85,42.02,60
89316,34,64,21.98,60
81143,74,80,33.88,60
43292,31,56,41.82,60
120633,30,87,23.32,60
119259,26,66,15.98,60
152670,34,80,41.9,60
129488,36,71,27.76,60
148004,30,70,12.98,60
45955,51,76,22.65,60
38969,26,86,31.18,60
40659,41,65,38.03,60
30303,23,65,14.82,60
31797,28,66,8.16,60
25105,36,53,21.63,60
96350,64,83,24.78,60
20546,30,79,18.22,60
24003,45,61,11.05,60
153713,38,82,40.04,60
59288,44,55,27.78,60
111656,26,74,31.94,60
29552,26,88,17.28,60
6509,49,64,20.42,60
35838,28,62,36.76,60
59095,43,56,12.9,60
82581,29,74,52.43,60
152956,35,88,27.32,60
15759,30,76,28.05,60
2090,40,50,46.63,60
84642,30,81,47.71,60
51581,26,68,47.42,60
126841,47,77,49.56,60
81916,21,63,24.66,60
30028,32,73,45.86,60
34878,27,71,11.81,60
32049,24,61,52.86,60
35560,35,81,25.95,60
40747,68,73,44.38,60
33001,30,54,57.57,60
101587,28,86,43.32,60
11047,31,67,44.77,60
55119,44,77,24.46,60
88668,27,70,39.44,60
152691,22,70,29.21,60
66933,72,82,50.74,60
6560,28,72,13.16,60
98763,60,65,53.66,60
14543,23,65,27.5,60
46002,55,77,25.22,60
153025,47,86,51.54,60
113857,29,68,43.13,60
4552,34,61,43.57,60
109491,28,62,39.24,60
100705,50,82,57.89,60
92354,39,59,38.84,60
42952,41,66,41.46,60
129985,32,75,56.31,60
3266,60,63,59,60
108184,27,78,27.69,60
131821,24,76,32.28,60
37835,24,74,18.74,60
125321,35,65,37.15,60
15991,20,53,42.3,60
139103,43,64,53.34,60
57560,28,69,36.3,60
27227,26,79,28.37,60
31685,51,88,47.96,60
51531,38,57,21.87,60
2719,48,87,13.31,60
36408,42,56,42.25,60
105461,33,58,13.39,60
80852,23,55,21.82,60
121807,31,78,49.72,60
62738,40,53,25.59,60
24859,30,73,50.85,60
82677,59,94,26.1,60
26485,32,69,31.65,60
104561,39,64,40.39,60
133915,26,76,30.29,60
138589,58,64,48.1,60
36605,30,91,9.98,60
147244,31,84,25.24,60
81303,39,50,50.69,60
123496,42,67,49.5,60
52315,68,76,31.47,60
61057,30,77,23.78,60
110683,22,60,22.56,60
6140,31,70,54.28,60
115107,27,72,28.81,60
140247,45,67,14.19,60
7615,24,53,30.66,60
118118,48,65,21.51,60
102204,28,48,26.68,60
65748,50,52,53.11,60
61873,29,73,48.85,60
133958,43,86,22.41,60
93932,30,49,30.61,60
6748,31,69,23.29,60
132647,33,49,31.74,60
66198,44,62,24.81,60
95255,43,77,21.11,60
140260,28,80,19.81,60
148696,37,74,39.47,60
146640,64,78,58.46,60
71630,30,69,25.31,60
33542,51,82,23.09,60
146769,40,65,56.76,60
75224,40,89,12.04,60
34327,38,43,58.07,60
140365,32,60,14.57,60
99856,28,75,22.31,60
8761,33,70,28.75,60
56608,28,77,55.18,60
87492,49,85,29.7,60
15477,31,63,25.1,60
67648,37,84,18.57,60
21085,50,69,37.22,60
58757,48,85,34.39,60
91933,28,65,41.88,60
11471,22,67,53.88,60
94621,28,73,36.61,60
55543,29,76,50.67,60
36225,38,78,13.21,60
142139,32,57,30.16,60
78116,30,61,42,60
1426,21,44,25.85,60
144136,30,66,45.07,60
108298,27,69,48.94,60
82129,54,77,57.92,60
88250,34,45,29.32,60
7185,39,74,31.32,60
57681,37,54,12.26,60
39191,33,75,29.96,60
114548,28,71,30.11,60
57790,28,80,37.59,60
150830,30,71,14.99,60
